	CO2_mole_fract	T274K	T276K	T278K	T280K	T282K	T284K	T286K	T288K	T290K	T292K	T294K	T296K	T298K	T300K	T302K	T304K	T306K	T308K	T310K	T312K
0	0.01	4.208145421696572	4.145810436082927	4.086458546904905	4.030377369353857	3.9772385668198402	3.926932083203392	3.879010488689611	3.833621120786706	3.790627670053625	3.749436233533604	3.710516047707789	3.6732112987154006	3.6380708246262503	3.604337007806637	3.572513896747107	3.5416516046183255	3.5126994420861988	3.4847097795961908	3.4581362275549696	3.4327774495311885
1	0.0198989898989899	4.226039936008098	4.162181721522191	4.1014315260258725	4.044070983328861	3.98975511087578	3.938368951755444	3.8894519125233065	3.8431482985455605	3.799311616718639	3.757342041682646	3.7177042951610986	3.679735847068072	3.6439824943328865	3.6096816278592394	3.5773344964739717	3.545985736253253	3.516583207998412	3.4881756214325783	3.4612149900613325	3.435496636431487
2	0.029797979797979796	4.244002870418536	4.178608554977866	4.116449273286349	4.057800387980919	4.002299946929249	3.9498278963207487	3.899910259065459	3.8526881643103126	3.8080047728059254	3.7652542331266905	3.7248966392520115	3.686262666843413	3.64989499176046	3.6150259581908255	3.5821539592007405	3.550318111038772	3.5204647813029775	3.491638993331266	3.4642911328933823	3.438213158142454
3	0.039696969696969696	4.262033876058572	4.1950906275503295	4.131511518841717	4.071565350366709	4.014872876279547	3.96130874930206	3.9103853886863567	3.8622406031742096	3.816707045098388	3.77317273345931	3.7320930217175903	3.692791713508103	3.6558082839261665	3.6203699754119496	3.5869722694080513	3.5546487198145176	3.524344157898253	3.495099895100854	3.4673646587934774	3.4409270195146338
4	0.049595959595959596	4.28013260107254	4.211627628566049	4.146617991917353	4.085365637182578	4.027473700237855	3.9728113433418764	3.920877162122164	3.8718055006515857	3.8254183408081444	3.7810974686804055	3.73929338466058	3.699322942844083	3.661722338108844	3.6257136563418766	3.591789411735749	3.558977553534757	3.528221333758445	3.4985583265931077	3.470435570520542	3.4436382253942193
5	0.059494949494949496	4.2982986907402845	4.22821924566713	4.161768420873183	4.09920101481016	4.0401022201586265	3.984335511343415	3.9313854404883264	3.881382742685902	3.834138567580858	3.789028365198158	3.746497670549792	3.7058563109480667	3.667637121848022	3.6310569780074804	3.5966053709818158	3.5633046032674685	3.5320963049328946	3.5020142877024876	3.4735038708498	3.4463467806229704
6	0.06939393939393938	4.316531787598294	4.2448651649000455	4.176962533267512	4.113071249361343	4.052758237470468	3.9958810864911505	3.941910085292601	3.8909722156575635	3.8428676334999867	3.7969653498308413	3.7537058222204625	3.712391774231002	3.6735526029429817	3.636399917642148	3.6014201321013366	3.5676298601934495	3.5359690675453685	3.5054677783656705	3.4765695625725166	3.449052690038135
7	0.07929292929292929	4.334831531560133	4.261565070803616	4.192200055920105	4.12697610672263	4.0654415537064965	4.007447902270919	3.95245095844787	3.900573806391538	3.851605447090824	3.8049083498085845	3.7609177828744995	3.718929289417517	3.6794687494517566	3.641742452684682	3.6062336802054196	3.57195331560541	3.5398396177933815	3.5089187985610657	3.4796326484957127	3.4517559584723467
8	0.08919191919191918	4.353197560035974	4.2783186464960625	4.2074807149744675	4.140915352598785	4.07815197053415	4.019035792489664	3.9630079222845604	3.910187402164715	3.860351917324429	3.8128572927749795	3.7681334960807273	3.7254688135453184	3.685385529690148	3.647084560778177	3.611046000560159	3.5762749609070736	3.5437079519474928	3.5123673483083544	3.482693131441921	3.4544565907535807
9	0.09909090909090908	4.371629508051297	4.2951255737612355	4.222804235959351	4.154888752555872	4.090889289784478	4.030644591294743	3.973580839562836	3.919812890713104	3.8691069536213822	3.8208121067886487	3.7753529057750246	3.732010303964562	3.6913029122307166	3.65242621976891	3.615857078585584	3.5805947876122977	3.5475740663506237	3.5158134276680166	3.4857510142489185	3.457154591705056
